feature,shap_raw,perm_raw,shap_norm,perm_norm,hybrid_score
ratio_extRedirection,8.747697255593517e-11,-0.00013123359580053952,0.0,0.04042806183115416,0.016171224732461666
domain_in_brand,1.2274956071338036e-11,-0.00017497812773403787,0.0,0.039239001189061685,0.015695600475624676
longest_word_host,1.7994815284265967e-11,-0.00021872265966754734,0.0,0.038049940546968905,0.015219976218787562
length_url,4.276550493236903e-11,-0.00021872265966754734,0.0,0.038049940546968905,0.015219976218787562
nb_underscore,1.4953775960138944e-11,-0.00021872265966754734,0.0,0.038049940546968905,0.015219976218787562
ratio_extErrors,2.078022042727339e-11,-0.00021872265966754734,0.0,0.038049940546968905,0.015219976218787562
char_repeat,5.910147615479088e-11,-0.00021872265966755845,0.0,0.03804994054696861,0.015219976218787443
prefix_suffix,1.0109040150315196e-11,-0.0002624671916010568,0.0,0.03686087990487613,0.014744351961950453
shortening_service,1.1997395249504594e-11,-0.0002624671916010568,0.0,0.03686087990487613,0.014744351961950453
avg_words_raw,2.4188518283475436e-11,-0.00030621172353456627,0.0,0.03567181926278335,0.014268727705113341
external_favicon,1.1191345947517568e-11,-0.00030621172353456627,0.0,0.03567181926278335,0.014268727705113341
ratio_intHyperlinks,5.819871679411682e-11,-0.00034995625546807574,0.0,0.03448275862069057,0.01379310344827623
random_domain,2.8076082985814053e-12,-0.00034995625546807574,0.0,0.03448275862069057,0.01379310344827623
longest_words_raw,5.4231169622975736e-11,-0.0003937007874015963,0.0,0.03329369797859749,0.013317479191438997
nb_and,7.345301330190195e-12,-0.0004374453193350947,0.0,0.03210463733650502,0.012841854934602007
nb_subdomains,1.9354763718794374e-11,-0.0004374453193350947,0.0,0.03210463733650502,0.012841854934602007
length_hostname,4.445562771193906e-11,-0.0004374453193351058,0.0,0.03210463733650472,0.012841854934601889
nb_qm,3.127530758256334e-11,-0.0005686789151356231,0.0,0.02853745541022668,0.011414982164090672
ratio_intMedia,1.865316221016884e-11,-0.000656167979002642,0.0,0.026159334126041125,0.010463733650416451
nb_eq,2.6426452006769594e-11,-0.0007436570428696609,0.0,0.023781212841855567,0.009512485136742228
nb_slash,3.748977242745329e-11,-0.0008311461067366799,0.0,0.02140309155767001,0.008561236623068005
ratio_digits_url,6.133523718464257e-11,-0.0008748906386701893,0.0,0.020214030915577233,0.008085612366230894
ratio_extMedia,3.129365500323438e-11,-0.0009186351706036988,0.0,0.019024970273484453,0.007609988109393781
domain_registration_length,2.3366678462073938e-11,-0.0009186351706036988,0.0,0.019024970273484453,0.007609988109393781
shortest_word_path,3.585809002258969e-11,-0.0010061242344707177,0.0,0.0166468489892989,0.00665873959571956
length_words_raw,4.241176037385734e-11,-0.0010061242344707177,0.0,0.0166468489892989,0.00665873959571956
ratio_extHyperlinks,7.553187424348868e-11,-0.0011373578302712462,0.0,0.013079667063020562,0.0052318668252082255
links_in_tags,4.015637937833182e-11,-0.0011811023622047556,0.0,0.011890606420927784,0.004756242568371114
avg_word_path,3.785710810470507e-11,-0.0014873140857393219,0.0,0.003567181926278335,0.001426872770511334
shortest_words_raw,2.46258703173162e-11,-0.0016185476815398503,0.0,0.0,0.0
